차량명	배기량	연비	가격(단위:만)	연료	차량유형	사진파일
재규어 F-페이스	1997	12.8	7490	경유	중형 SUV	./3조/차량사진/재규어F페이스.png
재규어 F-타입 쿠페	1997	9.8	9750	휘발유	스포츠카 쿠페	./3조/차량사진/재규어F타입쿠페.png
재규어 F-타입 컨버터블	1997	9.8	10250	휘발유	스포츠카 컨버터블	./3조/차량사진/재규어F타입.png
쌍용 티볼리	1497	12.2	2260	휘발유	소형 SUV	./3조/차량사진/쌍용티볼리.png
쌍용 티볼리 에어	1497	11.9	2236	휘발유	소형 SUV	./3조/차량사진/쌍용티볼리에어.png
쌍용 코란도	1497	11.4	2391	휘발유	준중형 SUV	./3조/차량사진/쌍용코란도.png
쌍용 렉스턴	2157	11.6	4065	경유	준대형 SUV	./3조/차량사진/쌍용렉스턴.png
쌍용 코란도 이모션	0	4.9km/kwh	4390	전기	준중형 SUV	./3조/차량사진/쌍용코란도이모션.png
쌍용 렉스턴 스포츠	2157	10.8	3075	경유	준대형 트럭	./3조/차량사진/쌍용렉스턴스포츠.png
쌍용 렉스턴 스포츠 칸	2157	10.4	3305	경유	준대형 트럭	./3조/차량사진/쌍용렉스턴스포츠칸.png
쉐보레 스파크	999	15	1060	휘발유	경형 해치백	./3조/차량사진/쉐보레스파크.png
쉐보레 말리부	1341	13.7	2741	휘발유	중형 세단	./3조/차량사진/쉐보레말리부.png
쉐보레 카마로	6162	7.4	5450	휘발유	스포츠카 쿠페	./3조/차량사진/쉐보레카마로.png
쉐보레 트랙스	1399	11.4	2298	휘발유	소형 SUV	./3조/차량사진/쉐보레트랙스.png
쉐보레 트레일블레이저	1341	12.7	2445	휘발유	소형 SUV	./3조/차량사진/쉐보레트레일블레이저.png
쉐보레 콜로라도	3649	8.3	4050	휘발유	준대형 트럭	./3조/차량사진/쉐보레콜로라도.png
쉐보레 트래버스	3564	8.3	5896	휘발유	준대형 SUV	./3조/차량사진/쉐보레트래버스.png
쉐보레 타호	6162	6.4	9363	휘발유	대형 SUV	./3조/차량사진/쉐보레타호.png
쉐보레 볼트 EUV	0	5.5km/kwh	4490	전기	소형 SUV	./3조/차량사진/쉐보레볼트EUV.png
쉐보레 볼트 EV	0	5.4km/kwh	4130	전기	소형 해치백	./3조/차량사진/쉐보레볼트EV.png
미니 해치백 S	1998	12.2	4110	휘발유	소형 해치백	./3조/차량사진/미니해치백S.png
미니 해치백 S 5도어	1998	12.8	4210	휘발유	소형 해치백	./3조/차량사진/미니해치백S5도어.png
미니 컨버터블 S	1998	12	4990	휘발유	소형 컨버터블	./3조/차량사진/미니컨버터블S.png
미니 클럽맨	1499	11.5	4120	휘발유	소형 왜건	./3조/차량사진/미니클럽맨.png
미니 컨트리맨	1499	11.6	4390	휘발유	소형 SUV	./3조/차량사진/미니컨트리맨.png
포드 익스플로러	2261	8.9	6020	휘발유	준대형 SUV	./3조/차량사진/포드익스플로러.png
포드 레인저	1996	10	4990	경유	준대형 트럭	./3조/차량사진/포드레인저.png
포드 익스페디션	3496	7.4	8240	휘발유	대형 SUV	./3조/차량사진/포드익스페디션.png
지프 레니게이드	2360	10	4160	휘발유	소형 SUV	./3조/차량사진/지프레니게이드.png
지프 랭글러	1995	8.6	6940	휘발유	중형 SUV	./3조/차량사진/지프랭글러.png
지프 체로키	2360	9.5	4990	휘발유	중형 SUV	./3조/차량사진/지프체로키.png
지프 그랜드 체로키	3604	7.9	6590	휘발유	준대형 SUV	./3조/차량사진/지프그랜드체로키.png
지프 글래디에이터	3604	6.5	7070	휘발유	대형 트럭	./3조/차량사진/지프글래디에이터.png
캐딜락 CT4	1998	10.6	4935	휘발유	중형 세단	./3조/차량사진/캐딜락CT4.png
캐딜락 CT5	1998	10.2	5428	휘발유	준대형 세단	./3조/차량사진/캐딜락CT5.png
캐딜락 XT4	1998	10	5531	휘발유	준중형 SUV	./3조/차량사진/캐딜락XT4.png
캐딜락 XT5	3649	8	6793	휘발유	중형 SUV	./3조/차량사진/캐딜락XT5.png
캐딜락 XT6	3649	8.3	8391	휘발유	준대형 SUV	./3조/차량사진/캐딜락XT6.png
렉서스 LS	3445	7.9	13730	휘발유	대형 세단	./3조/차량사진/렉서스LS.png
렉서스 NX	1998	9.3	6520	휘발유	중형 SUV	./3조/차량사진/렉서스NX.png
